,gaming_title,yes_relevancy,no_relevancy
2452,What PEARL is *REALLY* like in Radiant VALORANT...,0.7265952826000001,0.2734046578
2974,People Still Play Counter-Strike 1.6 !?,0.9921463131999999,0.007853719406
4396,NEW CRYPTO and REVENANT REWORK INCOMING - AMAZING CHANGES - Apex Legends Guide,0.9421384931,0.057861495760000006
4341,"Meet The #1 Seer In Apex Legends Who Just Hit 70,000+ Kills",0.9905253649,0.009474558756
